inventory_version,path,caller_or_route,operation,description_input_contract,can_attest_source,unattested_source,guard_error_contract,test_path,file_sha256
1,apps/web/src/app/api/products/route.ts,add-product form -> POST /api/products,insert public.products.description,createProductSchema.description optional string; sanitizeHtml; empty string fallback,no,merchant_unattested,C3 prepared guard not installed; no stable provenance error yet,apps/web/src/app/api/products/route.test.ts,d72a7b81ce7a0333d8c5c37b6e9bfc5e12a0c7e420b26444e406348a12033a92
1,apps/web/src/app/api/products/[id]/route.ts,edit-product form -> PUT /api/products/[id],update public.products.description,updateProductSchema.description optional string or null; sanitizeHtml,no,merchant_unattested,C3 prepared guard not installed; no stable provenance error yet,apps/web/src/app/api/products/[id]/route.test.ts,bbf6b4b564e4d9bf1c085d8139450ed7340fa94f008b5d6a00f9f08502d71e83
1,apps/web/src/app/api/products/bulk-import/route.ts,csv-bulk-import-dialog -> multipart POST /api/products/bulk-import,insert public.products.description,CSV description optional string; empty string fallback,no,csv_import_unattested,C3 prepared guard not installed; no stable provenance error yet,apps/web/src/app/api/products/bulk-import/route.test.ts,15d0d8675b95a5292cbf49df78311c96ab9f6423a5102fea9cca23ba0ff2274f
1,apps/web/src/app/api/products/bulk-update/bulk-update-change-processing.ts,review-changes -> product-context -> bulk-update route -> processor,insert public.products.description for new bulk-update rows,BulkUpdateChange.details.description optional string; empty string fallback,no,bulk_update_unattested,C3 prepared guard not installed; no stable provenance error yet,apps/web/src/app/api/products/bulk-update/bulk-update-change-processing.test.ts,2c2ee0dc3e64187880ef5f707ba0c6eac4343e9bd192671628191fb0b3d0482f
1,apps/web/src/lib/import-commit/commit-bumpa-products.ts,run-claimed-import-job -> commitBumpaProducts,insert or update public.products.description,NormalizedImportedProduct.description from Bumpa import payload,no,bumpa_import_unattested,C3 prepared guard not installed; no stable provenance error yet,apps/web/src/lib/import-commit/commit-bumpa-products.test.ts,c3f98397d19843877418fe91a1162d8372079b56acf81ebdd68fd657fed1a541
1,apps/web/src/app/api/marketplace/jumia/products/import/route.ts,use-products-page-actions -> POST /api/marketplace/jumia/products/import,upsert public.products.description,Jumia product description; stripHtmlTags then sanitizeText; empty string fallback,no,jumia_import_unattested,C3 prepared guard not installed; no stable provenance error yet,apps/web/src/app/api/marketplace/jumia/products/import/route.test.ts,813253bdbd7ebfe974b5fc227a03a004fb542312e0a6e11beda1ced99878f4b2
1,apps/web/src/ai/flows/generate-product-descriptions.ts,product create UI server action; returned text is saved only by a later writer,generate only; no public.products write,GenerateProductDescriptionInput -> provider text,no,not_persisted,not applicable until a writer persists output,apps/web/src/ai/flows/generate-product-descriptions.test.ts,2d75d5427336ed5db57afe4f174ec1db18e09ce5a36edfde08e23eed380d1fc7
1,apps/web/src/ai/flows/autofill-product-details.ts,product create UI server action; returned details are saved only by a later writer,generate only; no public.products write,AutofillProductDetailsInput -> generated details.description,no,not_persisted,not applicable until a writer persists output,apps/web/src/ai/flows/autofill-product-details.test.ts,c2e08bc974fd4e485c4ce75af674831204f3712d4a0351dfabc655911731f771
1,supabase/migrations/20260615181534_serialized_variant_inventory.sql,legacy private.save_mobile_admin_product_with_variants RPC implementation,insert or update public.products.description,p_product_payload.description JSON text,no,mobile_admin_unattested,C3 prepared guard not installed; PostgreSQL error mapping not yet defined,apps/mobile-admin/hooks/product-save.test.ts,d0f34aeab2a0622c0cae17dbd260c671cc6c96db31f85d414fb19beabb11fce8
1,supabase/migrations/20260702063638_restore_mobile_admin_product_rpc_contract.sql,apps/mobile-admin/hooks/product-save.ts -> public.save_mobile_admin_product_with_variants,insert or update public.products.description,p_product_payload.description JSON text,no,mobile_admin_unattested,C3 prepared guard not installed; PostgreSQL error mapping not yet defined,apps/mobile-admin/hooks/product-save.test.ts,a04858072ce04f37af2269bb14bd4a936df612b6243fdb0099e8b417ba9c3ba4
